  100%	-1
   99%	0.172037
   98%	0.344075
   97%	0.516112
   96%	0.688149
   95%	0.860186
   94%	1.09058
   93%	1.57418
   92%	2.04431
   91%	2.41517
   90%	2.78603
   89%	3.15067
   88%	3.50684
   87%	3.86301
   86%	4.25117
   85%	4.65933
   84%	5.07956
   83%	5.56074
   82%	6.04777
   81%	6.59613
   80%	7.15596
   79%	7.74788
   78%	8.35213
   77%	8.96555
   76%	9.58981
   75%	10.2163
   74%	10.846
   73%	11.483
   72%	12.1181
   71%	12.7353
   70%	13.3539
   69%	13.9734
   68%	14.5954
   67%	15.2185
   66%	15.8433
   65%	16.4567
   64%	17.0655
   63%	17.6676
   62%	18.2677
   61%	18.8653
   60%	19.4603
   59%	20.0554
   58%	20.6579
   57%	21.2538
   56%	21.8411
   55%	22.4385
   54%	23.0399
   53%	23.6445
   52%	24.2476
   51%	24.8486
   50%	25.4465
   49%	26.0435
   48%	26.6426
   47%	27.2548
   46%	27.8863
   45%	28.5099
   44%	29.1356
   43%	29.7757
   42%	30.4178
   41%	31.0629
   40%	31.7259
   39%	32.3878
   38%	33.0516
   37%	33.7483
   36%	34.4525
   35%	35.1652
   34%	35.8922
   33%	36.6255
   32%	37.3814
   31%	38.1629
   30%	38.9578
   29%	39.7587
   28%	40.5868
   27%	41.4435
   26%	42.3183
   25%	43.2051
   24%	44.1322
   23%	45.1017
   22%	46.0882
   21%	47.1071
   20%	48.1878
   19%	49.2764
   18%	50.4343
   17%	51.6492
   16%	52.9209
   15%	54.2776
   14%	55.7093
   13%	57.2358
   12%	58.841
   11%	60.5912
   10%	62.544
    9%	64.6661
    8%	67.0572
    7%	69.6716
    6%	72.712
    5%	76.2194
    4%	80.4781
    3%	86.136
    2%	93.7484
    1%	106.577
    0%	220
