  100%	-0.5
   99%	-0.401551
   98%	-0.303102
   97%	-0.204653
   96%	-0.106204
   95%	-0.00775532
   94%	0.0906936
   93%	0.189143
   92%	0.287591
   91%	0.38604
   90%	0.484489
   89%	0.547953
   88%	0.604874
   87%	0.661794
   86%	0.718715
   85%	0.775636
   84%	0.832556
   83%	0.889477
   82%	0.946398
   81%	1.00332
   80%	1.06024
   79%	1.11716
   78%	1.17408
   77%	1.231
   76%	1.28792
   75%	1.34484
   74%	1.40176
   73%	1.45868
   72%	1.52193
   71%	1.60192
   70%	1.6819
   69%	1.76189
   68%	1.84188
   67%	1.92187
   66%	2.00185
   65%	2.08184
   64%	2.16183
   63%	2.24182
   62%	2.3218
   61%	2.40179
   60%	2.48178
   59%	2.57267
   58%	2.66678
   57%	2.76088
   56%	2.85499
   55%	2.9491
   54%	3.0432
   53%	3.13731
   52%	3.23142
   51%	3.32553
   50%	3.41963
   49%	3.51596
   48%	3.62525
   47%	3.73455
   46%	3.84385
   45%	3.95315
   44%	4.06244
   43%	4.17174
   42%	4.28104
   41%	4.39034
   40%	4.49963
   39%	4.63112
   38%	4.76269
   37%	4.89425
   36%	5.02582
   35%	5.15738
   34%	5.28894
   33%	5.42051
   32%	5.56477
   31%	5.72842
   30%	5.89207
   29%	6.05571
   28%	6.21936
   27%	6.38301
   26%	6.5588
   25%	6.76505
   24%	6.97131
   23%	7.17756
   22%	7.38381
   21%	7.61313
   20%	7.87221
   19%	8.1313
   18%	8.39038
   17%	8.687
   16%	9.01114
   15%	9.33529
   14%	9.7003
   13%	10.1075
   12%	10.5183
   11%	11.0221
   10%	11.5322
    9%	12.157
    8%	12.8442
    7%	13.6303
    6%	14.5665
    5%	15.7156
    4%	17.1598
    3%	19.0862
    2%	21.9275
    1%	27.0461
    0%	98.5
