  100%	-1
   99%	1.27566
   98%	1.89259
   97%	2.35505
   96%	2.78495
   95%	3.19797
   94%	3.59409
   93%	3.99022
   92%	4.43051
   91%	4.87192
   90%	5.35742
   89%	5.86094
   88%	6.39793
   87%	6.94769
   86%	7.52664
   85%	8.11094
   84%	8.70519
   83%	9.29905
   82%	9.8925
   81%	10.4899
   80%	11.0882
   79%	11.6864
   78%	12.2826
   77%	12.8767
   76%	13.4649
   75%	14.0509
   74%	14.6311
   73%	15.2059
   72%	15.7711
   71%	16.3383
   70%	16.9069
   69%	17.4692
   68%	18.0301
   67%	18.5897
   66%	19.1469
   65%	19.6976
   64%	20.247
   63%	20.7951
   62%	21.3467
   61%	21.9003
   60%	22.4494
   59%	22.9975
   58%	23.5483
   57%	24.0988
   56%	24.6476
   55%	25.1994
   54%	25.7567
   53%	26.3201
   52%	26.8882
   51%	27.4547
   50%	28.0216
   49%	28.6056
   48%	29.1917
   47%	29.7824
   46%	30.3719
   45%	30.9609
   44%	31.5677
   43%	32.1796
   42%	32.8007
   41%	33.4286
   40%	34.062
   39%	34.7155
   38%	35.3757
   37%	36.042
   36%	36.7228
   35%	37.4202
   34%	38.131
   33%	38.8514
   32%	39.5869
   31%	40.3378
   30%	41.1059
   29%	41.8907
   28%	42.6998
   27%	43.531
   26%	44.3905
   25%	45.2789
   24%	46.1891
   23%	47.1321
   22%	48.1069
   21%	49.1152
   20%	50.159
   19%	51.2667
   18%	52.4137
   17%	53.5982
   16%	54.8725
   15%	56.2181
   14%	57.6668
   13%	59.2017
   12%	60.8312
   11%	62.5736
   10%	64.4944
    9%	66.5774
    8%	68.9288
    7%	71.5752
    6%	74.6075
    5%	78.1479
    4%	82.4784
    3%	88.0878
    2%	95.8267
    1%	109.075
    0%	219
