  100%	-0.5
   99%	-0.163067
   98%	0.173867
   97%	0.501713
   96%	0.555145
   95%	0.608577
   94%	0.662009
   93%	0.715442
   92%	0.768874
   91%	0.822306
   90%	0.875738
   89%	0.929171
   88%	0.982603
   87%	1.03604
   86%	1.08947
   85%	1.1429
   84%	1.19633
   83%	1.24976
   82%	1.3032
   81%	1.35663
   80%	1.41006
   79%	1.46349
   78%	1.52348
   77%	1.5976
   76%	1.67173
   75%	1.74585
   74%	1.81997
   73%	1.8941
   72%	1.96822
   71%	2.04234
   70%	2.11647
   69%	2.19059
   68%	2.26471
   67%	2.33884
   66%	2.41296
   65%	2.48708
   64%	2.57162
   63%	2.65835
   62%	2.74509
   61%	2.83182
   60%	2.91856
   59%	3.00529
   58%	3.09202
   57%	3.17876
   56%	3.26549
   55%	3.35223
   54%	3.43896
   53%	3.53012
   52%	3.6318
   51%	3.73348
   50%	3.83516
   49%	3.93684
   48%	4.03852
   47%	4.1402
   46%	4.24188
   45%	4.34356
   44%	4.44524
   43%	4.55645
   42%	4.67877
   41%	4.8011
   40%	4.92343
   39%	5.04575
   38%	5.16808
   37%	5.29041
   36%	5.41273
   35%	5.54266
   34%	5.69151
   33%	5.84037
   32%	5.98922
   31%	6.13807
   30%	6.28692
   29%	6.43578
   28%	6.60729
   27%	6.79599
   26%	6.98469
   25%	7.17339
   24%	7.36209
   23%	7.5643
   22%	7.80318
   21%	8.04206
   20%	8.28094
   19%	8.52504
   18%	8.8267
   17%	9.12837
   16%	9.43004
   15%	9.78611
   14%	10.1586
   13%	10.5384
   12%	10.9987
   11%	11.4589
   10%	12.021
    9%	12.6146
    8%	13.3194
    7%	14.1282
    6%	15.0803
    5%	16.2321
    4%	17.6711
    3%	19.656
    2%	22.4709
    1%	27.6975
    0%	98.5
