  100%	-1
   99%	2.49064
   98%	3.1541
   97%	3.53271
   96%	3.91133
   95%	4.17598
   94%	4.40578
   93%	4.63558
   92%	4.86538
   91%	5.07017
   90%	5.23956
   89%	5.40896
   88%	5.57836
   87%	5.74776
   86%	5.91716
   85%	6.0773
   84%	6.22859
   83%	6.37987
   82%	6.53115
   81%	6.68243
   80%	6.83371
   79%	6.98499
   78%	7.13799
   77%	7.29117
   76%	7.44435
   75%	7.59753
   74%	7.75071
   73%	7.90389
   72%	8.06332
   71%	8.23328
   70%	8.40323
   69%	8.57318
   68%	8.74313
   67%	8.91309
   66%	9.09636
   65%	9.29357
   64%	9.49079
   63%	9.68801
   62%	9.88522
   61%	10.096
   60%	10.3255
   59%	10.555
   58%	10.7846
   57%	11.0162
   56%	11.2798
   55%	11.5434
   54%	11.807
   53%	12.0781
   52%	12.3698
   51%	12.6615
   50%	12.9533
   49%	13.2729
   48%	13.5979
   47%	13.9229
   46%	14.2725
   45%	14.6299
   44%	14.9872
   43%	15.3649
   42%	15.7433
   41%	16.1305
   40%	16.5362
   39%	16.9418
   38%	17.3688
   37%	17.7993
   36%	18.2401
   35%	18.69
   34%	19.1511
   33%	19.6374
   32%	20.1312
   31%	20.6472
   30%	21.1727
   29%	21.7184
   28%	22.2781
   27%	22.8528
   26%	23.4434
   25%	24.0423
   24%	24.6792
   23%	25.3271
   22%	25.986
   21%	26.6961
   20%	27.4221
   19%	28.1698
   18%	28.9561
   17%	29.777
   16%	30.6433
   15%	31.5335
   14%	32.4641
   13%	33.4523
   12%	34.507
   11%	35.6264
   10%	36.8139
    9%	38.0976
    8%	39.5197
    7%	41.0382
    6%	42.7768
    5%	44.7612
    4%	47.1068
    3%	49.8771
    2%	53.6645
    1%	59.5276
    0%	219
